id,ACTION
1,0.986000
2,0.994000
3,1.000000
4,1.000000
5,1.000000
6,1.000000
7,0.940000
8,0.998000
9,0.892000
10,0.994000
11,0.898000
12,1.000000
13,0.948000
14,0.964000
15,0.992000
16,0.902000
17,0.964000
18,0.998000
19,0.990000
20,0.998000
21,1.000000
22,0.996000
23,0.976000
24,0.980000
25,0.996000
26,0.898000
27,0.952000
28,0.960000
29,0.988000
30,0.960000
31,0.996000
32,0.998000
33,0.988000
34,0.990000
35,0.992000
36,0.998000
37,0.992000
38,0.992000
39,0.962000
40,0.916000
41,0.958000
42,0.976000
43,0.988000
44,1.000000
45,0.994000
46,0.978000
47,1.000000
48,0.998000
49,0.998000
50,0.928000
51,0.928000
52,0.994000
53,0.996000
54,1.000000
55,0.960000
56,1.000000
57,0.996000
58,1.000000
59,0.936000
60,0.932000
61,1.000000
62,0.994000
63,0.982000
64,1.000000
65,1.000000
66,0.970000
67,0.940000
68,0.998000
69,0.948000
70,0.502000
71,0.978000
72,0.994000
73,1.000000
74,1.000000
75,1.000000
76,0.996000
77,0.984000
78,0.904000
79,0.372000
80,1.000000
81,0.954000
82,0.998000
83,0.960000
84,0.996000
85,1.000000
86,0.996000
87,0.998000
88,1.000000
89,0.996000
90,0.592000
91,0.998000
92,0.520000
93,0.994000
94,0.992000
95,0.994000
96,0.982000
97,0.180000
98,0.822000
99,1.000000
100,1.000000
101,0.852000
102,0.916000
103,1.000000
104,0.996000
105,0.478000
106,1.000000
107,0.998000
108,0.994000
109,1.000000
110,0.994000
111,0.426000
112,1.000000
113,0.974000
114,0.986000
115,1.000000
116,0.996000
117,0.994000
118,0.992000
119,0.990000
120,0.990000
121,0.974000
122,0.986000
123,0.998000
124,0.974000
125,0.996000
126,0.980000
127,0.980000
128,0.866000
129,0.974000
130,0.882000
131,1.000000
132,0.996000
133,0.972000
134,0.994000
135,1.000000
136,0.998000
137,0.992000
138,0.988000
139,0.754000
140,1.000000
141,0.998000
142,0.954000
143,1.000000
144,0.990000
145,1.000000
146,0.572000
147,0.992000
148,0.982000
149,1.000000
150,0.992000
151,1.000000
152,0.488000
153,0.992000
154,1.000000
155,0.998000
156,0.974000
157,0.950000
158,0.988000
159,0.734000
160,0.992000
161,0.938000
162,0.998000
163,0.998000
164,0.976000
165,1.000000
166,0.994000
167,0.940000
168,0.948000
169,0.982000
170,1.000000
171,0.990000
172,0.988000
173,1.000000
174,0.994000
175,0.990000
176,0.984000
177,0.884000
178,0.998000
179,1.000000
180,0.994000
181,0.710000
182,0.980000
183,0.782000
184,0.732000
185,0.994000
186,0.998000
187,0.998000
188,0.996000
189,0.662000
190,0.988000
191,0.998000
192,0.990000
193,1.000000
194,0.998000
195,1.000000
196,0.998000
197,0.986000
198,0.994000
199,0.996000
200,0.248000
201,0.996000
